Country_Name,Country_Code,pop_1990,emissions_90,per_capita_90,pop_1991,emissions_91,per_capita_91,pop_1992,emissions_92,per_capita_92,pop_1993,emissions_93,per_capita_93,pop_1994,emissions_94,per_capita_94,pop_1995,emissions_95,per_capita_95,pop_1996,emissions_96,per_capita_96,pop_1997,emissions_97,per_capita_97,pop_1998,emissions_98,per_capita_98,pop_1999,emissions_99,per_capita_99,pop_2000,emissions_00,per_capita_00,pop_2001,emissions_01,per_capita_01,pop_2002,emissions_02,per_capita_02,pop_2003,emissions_03,per_capita_03,pop_2004,emissions_04,per_capita_04,pop_2005,emissions_05,per_capita_05,pop_2006,emissions_06,per_capita_06,pop_2007,emissions_07,per_capita_07,pop_2008,emissions_08,per_capita_08,pop_2009,emissions_09,per_capita_09,pop_2010,emissions_10,per_capita_10,pop_2011,emissions_11,per_capita_11,pop_2012,emissions_12,per_capita_12
Aruba,ABW,62149,15176.8,0.24420022848316142,64622,15486,0.23963975116833278,68235,15898,0.2329889352971349,72504,16386.1,0.2260027032991283,76700,16876.8,0.22003650586701434,80324,17296.399999999998,0.21533290174792089,83200,16964,0.20389423076923077,85451,21518.3,0.25182034148225296,87277,17347.8,0.19876714369192341,89005,17554.600000000002,0.19723161620133703,90853,18051.4,0.19868799049013242,92898,18416.699999999997,0.1982464638635923,94992,18900.9,0.19897359777665488,97017,19318.8,0.19912798787841304,98737,19803,0.20056311210589747,100031,20182.600000000002,0.20176345332946788,100832,20675.899999999998,0.2050529593779752,101220,21246.600000000002,0.20990515708358035,101353,21743.7,0.21453435024123607,101453,22246.2,0.21927592086976236,101669,22740.7,0.22367388289449094,102053,22968.107,0.22506057636718177,102577,23195.514,0.2261278259258898
Afghanistan,AFG,12249114,7627580,0.6227046299022116,12993657,7702080,0.5927569120841039,13981231,7385530,0.5282460464318199,15095099,7474890,0.4951865502836384,16172719,7666930,0.4740656163011303,17099541,7885840,0.4611726127619449,17822884,8611680,0.4831810609326751,18381605,9213600,0.5012402344626599,18863999,9700170,0.5142159941802372,19403676,10305900,0.5311313175915738,20093756,9384180,0.4670197050267755,20966463,8666500,0.4133505970940354,21979923,9929430,0.45174999020697204,23064851,10350600,0.4487607572231878,24118979,10521400,0.43622907918282944,25070798,10698700,0.42673950785292114,25893450,10869900,0.4197934226609432,26616792,11049700,0.4151401866911685,27294031,11224400,0.4112400986135027,28004331,11497300,0.41055435318201317,28803167,13493300,0.46846584613421155,29708599,13628233,0.4587302484374978,30696958,13763166,0.4483560227694223
Angola,AGO,12171441,22056400,1.812143689477688,12553446,19167400,1.526863619758272,12968345,28287500,2.1812729380657285,13403734,17547500,1.309150121898868,13841301,19810000,1.4312238423252266,14268994,21420500,1.5011920251700996,14682284,20902900,1.4236817650441853,15088981,15071000,0.9988083356987459,15504318,16087000,1.03758191750195,15949766,16092000,1.0089176229920864,16440924,15758300,0.9584801924758001,16983266,15496900,0.9124805558601037,17572649,15694800,0.8931379668483675,18203369,15589800,0.8564238850511683,18865716,15809000,0.8379750866598437,19552542,16358600,0.8366482475782433,20262399,16603700,0.8194340660254494,20997687,16551000,0.7882296750113477,21759420,17292600,0.7947178739139187,22549547,17997900,0.7981490714647173,23369131,18602400,0.7960244649234068,24218565,18788424,0.7757860137460663,25096150,18974448,0.7560700744934981
Albania,ALB,3286542,2546960,0.7749665149570583,3266790,2397490,0.7338978018176865,3247039,2268970,0.6987812588638449,3227287,2344400,0.7264305901520379,3207536,2783960,0.8679434930738111,3187784,2768730,0.8685437909218442,3168033,2618410,0.826509698604781,3148281,2458460,0.7808896346927101,3128530,2371490,0.7580205399980182,3108778,2356870,0.758133903417999,3089027,2608800,0.8445377784007715,3060173,2345230,0.7663717051290891,3051010,2333220,0.7647369231828148,3039616,2473190,0.8136521192150588,3026939,2470020,0.8160124799343496,3011487,2477050,0.8225338512170234,2992547,2485280,0.8304898803594396,2970017,2505740,0.8436786725463188,2947314,2516630,0.853872373286321,2927519,2475200,0.8454940856062761,2913021,2592370,0.8899249267341361,2905195,2618293.7,0.9012454241453672,2900401,2644217.4,0.9116730410725965
"United Arab Emirates",ARE,1860174,13606000,7.314369515970012,1970026,14654300,7.438632789618005,2086639,15097300,7.235223725809783,2207405,14840700,6.723143238327357,2328686,15746500,6.7619679080820685,2448820,17009100,6.9458351369230895,2571020,18626200,7.24467332031645,2700010,18717400,6.932344695019648,2838145,18896100,6.657905075322085,2988162,18716300,6.263482368091155,3154925,20332700,6.444749082783267,3326032,19986800,6.009202557281469,3507232,20738600,5.913096139633763,3741932,21960500,5.868759774362548,4087931,22552000,5.516727165893945,4579562,22769400,4.971960200560665,5242032,23928400,4.5647184145384845,6044067,24537100,4.059700198558355,6894278,24457400,3.547492572826335,7666393,25047000,3.2671166218585457,8270684,25607400,3.096164718661721,8672475,25863474,2.9822483201162298,8900453,26119548,2.934631304721232
Argentina,ARG,32729739,102083000,3.1189677375673543,33193918,100648000,3.0321217278418295,33655151,102146000,3.0350777508025444,34110917,101568000,2.9775804619969612,34558115,101069000,2.9246097479564495,34994814,102195000,2.920289846375523,35419682,101400000,2.8628150868209374,35833969,102577000,2.8625631729491086,36241590,100269000,2.766683249824304,36648068,98301300,2.6823051081437637,37057452,99214100,2.677304958797491,37471509,98515100,2.6290667931200744,37889370,95893300,2.5308760742128995,38309379,101066000,2.6381529181143866,38728696,101501000,2.620821522108568,39145488,100126000,2.5577915901827564,39558890,100025000,2.5285087625057225,39970224,97783600,2.4464111084291145,40382389,97896600,2.424239932907387,40799407,93113200,2.282219445003208,41223889,86741600,2.104158586299318,41656879,87609016,2.1031104130484666,42096739,88476432,2.101740754788631
Armenia,ARM,3538165,2889700,0.8167227927470878,3505251,2745410,0.7832277916759741,3442810,2605210,0.7567103615941629,3363098,2400960,0.7139131836181997,3283660,2537160,0.7726622122875084,3217342,2427420,0.7544799402736794,3168215,2561530,0.8085088922311143,3133086,2613390,0.8341264810477593,3108684,2552160,0.820977622685355,3089017,2619240,0.8479202283444863,3069588,2565360,0.8357343070144918,3050655,2533700,0.8305429489732533,3033897,2604240,0.8583811513706628,3017806,2712880,0.898957719614846,3000612,2826690,0.9420378242838461,2981259,2960230,0.9929462686737381,2958500,3084150,1.0424708467128612,2933056,3105730,1.058871702415501,2908220,3234910,1.1123333172868628,2888584,3250450,1.1252745289733654,2877311,3328720,1.1568857172547562,2875581,3377204.5069999998,1.1744424890135245,2881922,3425678.014,1.1886782549978798
"American Samoa",ASM,47038,8841.12,0.18795697095964967,48375,9116.89,0.18846284237726096,49593,9359.970000000001,0.18873570866856212,50720,9581.11,0.18890201104100948,51803,9778.34,0.18876011041831556,52868,9958.21,0.1883598774305818,53929,10119.9,0.18765228355801145,54941,10261.8,0.18677854425656612,55901,10368.6,0.1854814761811059,56770,10472.300000000001,0.18446890963537083,57521,10569.2,0.18374506701900176,58175,10693.4,0.18381435324452083,58731,10814.7,0.18413955151453237,59117,10926.1,0.1848216249133075,59264,11062.300000000001,0.18666137958963286,59118,11216,0.1897222504144254,58650,11383.1,0.19408525149190112,57903,11663,0.20142306961642747,57030,12032.3,0.2109819393301771,56227,12411.199999999999,0.2207338111583403,55637,12858,0.23110519977712674,55320,12986.58,0.2347537960954447,55230,13115.16,0.23746442151004887
"Antigua and Barbuda",ATG,66696,35510.8,0.532427731798009,67307,35763.5,0.531348893874337,68427,36006.9,0.5262089526064273,69938,36470.700000000004,0.5214718750893649,71719,37090.200000000004,0.5171600273288808,73619,37486.5,0.5091959955989622,75628,37130.1,0.4909570529433543,77739,36980.1,0.4756955968046926,79851,36752.899999999994,0.4602685000814015,81831,36688.8,0.44834842541335196,83584,36676.7,0.4388004881316998,85057,37488,0.44073973923369036,86266,38069.1,0.4412990054018964,87293,38617.4,0.44238827855612706,88257,39402,0.4464461742411367,89253,39639.899999999994,0.4441296090887701,90301,40191.4,0.4450825572252799,91381,40713,0.4455302524594828,92478,41340.7,0.44703280780293686,93581,41885.2,0.4475823083745632,94661,42424.9,0.44817717961990683,95719,42849.149,0.44765562740939624,96777,43273.398,0.4471454787811154
Australia,AUS,17065100,115150000,6.747689729330622,17284000,120601000,6.977609349687572,17495000,116503000,6.659216919119748,17667000,112836000,6.386822890134148,17855000,123283000,6.904676561187342,18072000,112637000,6.2326803895528995,18311000,113515000,6.199279121839331,18517000,118625000,6.406275314575796,18711000,116914000,6.248410026187804,18926000,121783000,6.434693014900137,19153000,128133000,6.689970239649141,19413000,136147000,7.013187039612631,19651400,132305000,6.7325992041279505,19895400,125529000,6.309448415211556,20127400,126732000,6.296491350099864,20394800,122172000,5.990350481495283,20697900,119085000,5.7534822373284245,20827600,135612000,6.511167873398759,21249200,122245000,5.752922462963312,21691700,127532000,5.879299455552124,22031750,122574000,5.563516288992023,22340024,124100341.8,5.55506752365172,22742475,125588193.6,5.522186727697843
